"country_name","code","year","v2x_polyarchy","v2cscnsult","total_financement","ffuel","gini_index","ambition"
"Bulgaria","BGR",2015,0.674,1.31,NA,0.143749918528568,38.6,"3.6"
"Comoros","COM",2015,0.417,0.539,9.753122,0,NA,"1.2"
"Croatia","HRV",2015,0.814,1.338,NA,0.456082071266884,31.1,"4"
"Cuba","CUB",2015,0.168,-1.665,4.333288,0.49320374328968,NA,"5.1"
"Cyprus","CYP",2015,0.847,2.582,NA,0,34,"2.5"
"Czechia","CZE",2015,0.864,1.371,NA,0.144419184446679,25.9,NA
"Denmark","DNK",2015,0.922,3.646,NA,0.498876557525937,28.2,"3"
"Equatorial Guinea","GNQ",2015,0.181,-1.731,0.03098,16.5436014510607,NA,"2"
"Estonia","EST",2015,0.893,0.927,NA,0.577870298883675,32.7,"3.1"
"Fiji","FJI",2015,0.399,0.21,2.874564,0,NA,"2.2"
"Finland","FIN",2015,0.866,2.904,NA,0.0321566445749805,27.1,"3.5"
"Greece","GRC",2015,0.868,1.653,NA,0.0350612360542062,36,"3.8"
"Guyana","GUY",2015,0.654,1.397,2.762368,0,NA,"1.6"
"Iceland","ISL",2015,0.866,2.436,NA,0,26.8,"1.9"
"Israel","ISR",2015,0.728,0.851,NA,0.146616204046776,39.7,"3.8"
"Kuwait","KWT",2015,0.32,0.832,NA,37.312877866307,NA,"5.1"
"Lithuania","LTU",2015,0.841,1.061,NA,0.028369813462494,37.4,"5.1"
"Luxembourg","LUX",2015,0.879,3.46,NA,0,32.9,"3.8"
"North Macedonia","MKD",2015,0.442,-0.06,108.38254,0.0238270804961066,35.6,NA
"Malaysia","MYS",2015,0.314,0.308,2.770842,4.64652094437975,41.1,"5.1"
"Malta","MLT",2015,0.782,1.815,NA,0,29.4,"2.3"
"Mauritius","MUS",2015,0.767,1.477,3.477052,0.0268410183705881,NA,"4.9"
"Montenegro","MNE",2015,0.469,1.665,0.093216,0.0968828936467626,39,"NA"
"New Zealand","NZL",2015,0.892,1.807,NA,0.538293240412926,NA,"5.1"
"Norway","NOR",2015,0.897,3.612,NA,5.10696727823038,27.5,"2.2"
"Paraguay","PRY",2015,0.588,0.521,1.203522,0.102441199876795,47.6,"5.1"
"Romania","ROU",2015,0.712,1.914,NA,0.754329139172353,35.9,"4.2"
"Saudi Arabia","SAU",2015,0.017,-0.209,NA,24.7984184083939,NA,"5.1"
"Serbia","SRB",2015,0.429,0.684,49.910044,0.668131966092159,40.5,"5.1"
"Singapore","SGP",2015,0.431,-0.413,NA,0.0340084198311141,NA,"5.1"
"Slovakia","SVK",2015,0.845,2.089,NA,NA,NA,"3.5"
"Slovenia","SVN",2015,0.877,1.619,NA,0.0206270601705858,25.4,"3.9"
"Vanuatu","VUT",2015,0.718,1.777,2.966208,0,NA,"1.2"
"United Arab Emirates","ARE",2015,0.093,-1.443,NA,14.0465979075666,NA,"NA"
"Hungary","HUN",2015,0.621,-0.196,NA,0.183006343315816,30.4,"4.6"
"Cabo Verde","CPV",2015,NA,NA,8.52231,8.69712510622088,42.4,"1.2"
"China (People’s Republic of)","CHN",2015,NA,NA,278.457306,NA,NA,NA
"Congo","COG",2015,NA,NA,157.285766,NA,NA,"1.2"
"Côte d’Ivoire","CIV",2015,NA,NA,0.103844,NA,NA,NA
"Kiribati","KIR",2015,NA,NA,1.00133,0,NA,"NA"
"Lao People’s Democratic Republic","LAO",2015,NA,NA,7.13281,NA,NA,NA
"Myanmar","MMR",2015,NA,NA,6.81894,3.31755105368881,38.1,"NA"
"Türkiye","TUR",2015,NA,NA,37.483748,NA,NA,NA
"Viet Nam","VNM",2015,NA,NA,835.480588,1.88746848641254,NA,"5.1"
"Brunei Darussalam","BRN",2015,NA,NA,NA,18.8442992900279,NA,"5.1"
"Congo, Dem. Rep.","COD",2015,NA,NA,NA,0.34575268780191,NA,NA
"Congo, Rep.","COG",2015,NA,NA,NA,12.8046209884789,NA,NA
"Cote d'Ivoire","CIV",2015,NA,NA,NA,0.627925625639176,41.5,NA
"Egypt, Arab Rep.","EGY",2015,NA,NA,NA,3.7728518081326,31.8,NA
"Gambia, The","GMB",2015,NA,NA,NA,0,35.9,NA
"Iran, Islamic Rep.","IRN",2015,NA,NA,NA,14.8990525505954,35.3,NA
"Korea, Rep.","KOR",2015,NA,NA,NA,0.0211848429525411,NA,NA
"Kyrgyz Republic","KGZ",2015,NA,NA,NA,0.167617464238176,29,NA
"Lao PDR","LAO",2015,NA,NA,NA,0,NA,NA
"Russian Federation","RUS",2015,NA,NA,NA,8.73171753528354,36.5,"5.1"
"Slovak Republic","SVK",2015,NA,NA,NA,0.0149693112124629,26.5,NA
"Syrian Arab Republic","SYR",2015,NA,NA,NA,3.48834262135867,NA,"3.2"
"Turkiye","TUR",2015,NA,NA,NA,0.0635566024271232,NA,NA
"United States","USA",2015,NA,NA,NA,0.162335006043114,41.2,NA
"Yemen, Rep.","YEM",2015,NA,NA,NA,2.05196179191019,NA,NA
"Andorra","AND",2015,NA,NA,NA,NA,NA,"NA"
"Bolivia (Plurinational State of)","BOL",2015,NA,NA,NA,NA,NA,"5.1"
"Cote D'Ivoire","CIV",2015,NA,NA,NA,NA,NA,"1.2"
"Czech Republic","CZE",2015,NA,NA,NA,NA,NA,"3.8"
"United Kingdom of Great Britain and Northern Ireland","GBR",2015,NA,NA,NA,NA,NA,"2.9"
"Gambia (Islamic Republic of the)","GMB",2015,NA,NA,NA,NA,NA,"1.2"
"Guinea Bissau","GNB",2015,NA,NA,NA,NA,NA,"1.2"
"Iran (Islamic Republic of)","IRN",2015,NA,NA,NA,NA,NA,"5.1"
"Republic of Korea","KOR",2015,NA,NA,NA,NA,NA,"4.7"
"Lao People's Democratic Republic","LAO",2015,NA,NA,NA,NA,NA,"1.2"
"Republic of Moldova","MDA",2015,NA,NA,NA,NA,NA,"2.8"
"The former Yugoslav Republic of Macedonia","MKD",2015,NA,NA,NA,NA,NA,"5.1"
"Democratic People's Republic of Korea","PRK",2015,NA,NA,NA,NA,NA,"NA"
"United Republic of Tanzania","TZA",2015,NA,NA,NA,NA,NA,"1.2"
"Venezuela, Bolivarian Republic of","VEN",2015,NA,NA,NA,NA,NA,"5.1"
